junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr5:157266196-157285338	N_w	0.10177565457410243	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157266196-157285343	N_w	0.8208849717861473	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157266585-157285338	N_w	-0.3005799419859827	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157266585-157285343	N_w	0.5287207779525467	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157269584-157285338	N_w	0.4286604260060165	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157285479-157287018	N_w	-0.28339172884557473	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157287109-157288611	N_w	0.5186939420458059	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157287109-157294782	N_w	-0.2272335825934333	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157287109-157296672	N_w	0.5132285791996116	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157288660-157294782	N_w	0.5136968723943767	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157294861-157296672	N_w	-0.19333944610738163	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157296775-157300714	N_w	0.3270201067016434	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157296775-157307760	N_w	0.4798387913602067	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157300897-157302793	N_w	-0.09726832993363566	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157302891-157304237	N_w	0.17911939327789428	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157304367-157307760	N_w	-0.055157618843903355	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157307866-157309742	N_w	-0.016542789089194265	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157307866-157309745	N_w	0.2880789558619261	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157309835-157311663	N_w	-0.17020615283577745	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157311782-157314343	N_w	-0.08387024639059026	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157314464-157314968	N_w	-0.20124198299090623	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157315095-157319761	N_w	-0.3636911429583509	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157319929-157320654	N_w	-0.21263498470709608	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157320803-157322941	N_w	-0.46377338199249474	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157320803-157323920	N_w	-0.007281232858446174	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157323017-157323920	N_w	-0.4587746079513171	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157324075-157324770	N_w	0.6985102258319709	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157324075-157325481	N_w	-0.223631735657301	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157324075-157325484	N_w	0.11568445644660974	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157325639-157326170	N_w	-0.20736997151061787	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157326268-157327972	N_w	0.22963825569583304	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157328050-157330741	N_w	-0.43494713278396935	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157330851-157333326	N_w	-0.29357460221002873	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157333447-157339056	N_w	-0.14148967199628282	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157333447-157359004	N_w	0.7017067663535261	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157339257-157341069	N_w	-0.540073930317623	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157341158-157359004	N_w	-0.5416859624349093	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157359149-157360281	N_w	-0.5268073168935392	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157359149-157382589	N_w	0.49971391719568636	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157360373-157360554	N_w	0.30721409436918456	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157360373-157361467	N_w	-0.40326383683721145	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157360623-157361467	N_w	-0.2338286684490365	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157361599-157382589	N_w	-0.5040063092574589	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157382663-157383264	N_w	-0.14378697592498701	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157383360-157389188	N_w	-0.3354148075098593	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157389428-157390520	N_w	0.10677460149054896	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157389428-157392832	N_w	0.013167944629485895	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157390669-157391782	N_w	0.3305771102132584	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr5:157390669-157392832	N_w	-0.43283418369884563	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	False
chr5:157391817-157392832	N_w	0.39499643217937086	1	1	ENSG00000055163.19	CYFIP2	50	0	2.6567683632100683	no	True
chr2:182925819-182926815	N_w	-0.2763986215750983	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	False
chr2:182926906-182928116	N_w	-0.060807832058847655	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	False
chr2:182928227-182928782	N_w	-0.020046759707956108	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	False
chr2:182928900-182930694	N_w	-0.1994804957614087	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	False
chr2:182930789-182934751	N_w	-0.24073670132873048	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	False
chr2:182930789-182942069	N_w	-0.013791349733566882	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	True
chr2:182934833-182935264	N_w	0.3370378357969024	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	True
chr2:182934833-182935292	N_w	-0.2002618247252661	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	False
chr2:182935376-182942069	N_w	-0.050765309458812746	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	False
chr2:182935376-182952404	N_w	-0.08656839837647423	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	True
chr2:182942164-182952404	N_w	0.02165714072560454	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	False
chr2:182952503-182952792	N_w	-0.0822186327811456	1	1	ENSG00000061676.14	NCKAP1	42	2	2.5900372738564768	no	False
