junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr17:49210842-49216530	N_w	-0.0629202725128859	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	False
chr17:49210842-49217738	N_w	-0.07579100066264399	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49211216-49216530	N_w	-0.02379795827858633	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49215058-49216530	N_w	0.03174768970632602	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49216606-49217738	N_w	0.008654167568918458	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49216681-49217738	N_w	-0.02031426689455218	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49216699-49217680	N_w	0.13240736273801595	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49216699-49217738	N_w	-0.11953039039972335	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	False
chr17:49217432-49217738	N_w	-0.051993150132284116	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49217916-49219043	N_w	0.13922946775431178	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49217916-49219516	N_w	0.06472195397227154	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49217916-49219539	N_w	-0.01960989983336603	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	False
chr17:49217916-49219857	N_w	0.09529490469001795	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49217916-49222090	N_w	0.0892966089450053	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49219147-49219539	N_w	0.005953245144170727	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49219626-49219857	N_w	-0.10937236704039766	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	False
chr17:49219954-49220168	N_w	-0.20387229168419752	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	False
chr17:49219954-49220171	N_w	0.1499097339205654	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49219954-49220240	N_w	0.0056357379516212	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49220327-49222069	N_w	-0.06038495608575578	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr17:49220327-49222090	N_w	-0.08799233788037375	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	False
chr17:49222226-49222551	N_w	0.08840023453046553	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	False
chr17:49222306-49222551	N_w	0.024327784483082038	1	1	ENSG00000108798.8	ABI3	23	0	0.4279751069368209	no	True
chr12:110435197-110436109	N_w	0.039332810238713656	1	1	ENSG00000111229.15	ARPC3	53	0	1.1201329799433872	no	True
chr12:110435218-110435656	N_w	0.04421322928937488	1	1	ENSG00000111229.15	ARPC3	53	0	1.1201329799433872	no	True
chr12:110435218-110436080	N_w	0.06563901208091055	1	1	ENSG00000111229.15	ARPC3	53	0	1.1201329799433872	no	True
chr12:110435218-110436109	N_w	-0.06332632865526411	1	1	ENSG00000111229.15	ARPC3	53	0	1.1201329799433872	no	False
chr12:110435218-110436556	N_w	-0.012412650260073932	1	1	ENSG00000111229.15	ARPC3	53	0	1.1201329799433872	no	True
chr12:110435218-110440311	N_w	-0.08512020077528659	1	1	ENSG00000111229.15	ARPC3	53	0	1.1201329799433872	no	True
