junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr5:157266196-157285338	N_w	0.5550506277242243	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	True
chr5:157285479-157287018	N_w	-0.19561666300264074	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157287109-157294782	N_w	-0.08620008344461672	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157294861-157296672	N_w	-0.17412624421188605	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157296775-157300714	N_w	-0.19143687518220442	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157300897-157302793	N_w	-0.5482720507003732	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157302891-157304237	N_w	-0.6597120166624497	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157304367-157307760	N_w	-0.5650528952223249	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157307866-157309742	N_w	0.0038978638679893485	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157309835-157311663	N_w	-0.4356017676983471	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157311782-157314343	N_w	-0.3068866882710864	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	True
chr5:157314464-157314968	N_w	-0.3323574715569313	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157315095-157319761	N_w	-0.14001406860071747	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157319929-157320654	N_w	-0.12573490360933848	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157320803-157323920	N_w	-0.686163664151685	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157324075-157325481	N_w	-0.2979143205166014	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157325639-157326170	N_w	-0.24293524216152396	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157326268-157327972	N_w	0.10267101185693572	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	True
chr5:157328050-157330741	N_w	-0.1358476119692712	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157330851-157333326	N_w	-0.25649012168789465	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157333447-157339056	N_w	-0.26436614784571655	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157339257-157341069	N_w	0.3039354885998281	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157341158-157359004	N_w	0.3230256318865219	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157359149-157360281	N_w	0.21188835416176155	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157360373-157361467	N_w	0.44020575110755256	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157360623-157361467	N_w	0.7995327504134124	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	True
chr5:157361599-157382589	N_w	0.6183834051283565	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157382663-157383264	N_w	0.32955260436940703	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157383360-157389188	N_w	0.5063617936593157	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157389428-157390520	N_w	0.0009617242052482045	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr5:157389428-157392832	N_w	0.7382716491816183	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	True
chr5:157390669-157392832	N_w	0.7109901803334391	1	1	ENSG00000055163.19	CYFIP2	32	0	2.3582928773223766	no	False
chr2:182925819-182926815	N_w	0.6505848716679989	1	1	ENSG00000061676.14	NCKAP1	32	2	2.8519548428760664	no	False
chr2:182926906-182928116	N_w	0.42199120872318363	1	1	ENSG00000061676.14	NCKAP1	32	2	2.8519548428760664	no	False
chr2:182928227-182928782	N_w	0.11196031982644428	1	1	ENSG00000061676.14	NCKAP1	32	2	2.8519548428760664	no	False
chr2:182928900-182930694	N_w	0.3279350437529265	1	1	ENSG00000061676.14	NCKAP1	32	2	2.8519548428760664	no	False
