junction	type	ERR2598052	ERR2598053	ERR2598054	ERR2598055	ERR2598167	ERR2598168	ERR2598182	ERR2598183	ERR2598194	ERR2598234	ERR2598253	ERR2598255	ERR2598270	ERR2598338	ERR2598339	ERR2598351	ERR2598254	ERR2598307	geneID	geneName
chr5:157266196-157285338	N_w	0	2	6	0	7	3	7	0	3	0	1	0	0	1	0	0	2	0	ENSG00000055163.19	CYFIP2
chr5:157266585-157285338	N_w	0	1	3	0	7	7	1	1	1	3	2	0	0	1	3	0	2	0	ENSG00000055163.19	CYFIP2
chr5:157285479-157287018	N_w	8	16	38	8	100	59	25	36	69	14	2	9	3	9	4	8	15	1	ENSG00000055163.19	CYFIP2
chr5:157287109-157294782	N_w	1	7	12	8	54	27	9	12	21	15	3	1	2	2	0	2	3	0	ENSG00000055163.19	CYFIP2
chr5:157294861-157295378	N_w	3	1	8	4	7	8	1	4	4	8	2	2	0	0	0	3	6	0	ENSG00000055163.19	CYFIP2
chr5:157294861-157296672	N_w	6	13	48	6	107	58	31	30	69	34	7	8	3	11	2	1	24	0	ENSG00000055163.19	CYFIP2
chr5:157295452-157296672	N_w	3	8	11	4	13	7	1	2	8	8	1	3	0	0	0	0	4	0	ENSG00000055163.19	CYFIP2
chr5:157296775-157300714	N_w	14	28	5	2	63	27	19	14	14	39	8	5	1	2	8	2	14	0	ENSG00000055163.19	CYFIP2
chr5:157300897-157302793	N_w	23	26	30	11	99	58	17	16	38	38	12	5	3	8	4	5	15	2	ENSG00000055163.19	CYFIP2
chr5:157302891-157304237	N_w	25	37	39	26	103	57	33	44	60	55	12	6	7	10	2	3	35	1	ENSG00000055163.19	CYFIP2
chr5:157304367-157307760	N_w	12	20	46	27	63	49	24	26	55	4	14	16	1	10	2	1	18	0	ENSG00000055163.19	CYFIP2
chr5:157307866-157309742	N_w	7	14	15	21	32	25	18	17	21	4	5	6	3	0	0	0	15	1	ENSG00000055163.19	CYFIP2
chr5:157309835-157311663	N_w	6	14	23	16	33	43	20	23	50	2	2	3	1	3	0	0	14	1	ENSG00000055163.19	CYFIP2
chr5:157311782-157314343	N_w	7	25	19	2	46	28	23	16	30	9	5	6	3	0	4	1	18	1	ENSG00000055163.19	CYFIP2
chr5:157314464-157314968	N_w	7	14	41	0	54	39	22	12	40	13	5	4	1	3	0	3	17	1	ENSG00000055163.19	CYFIP2
chr5:157315095-157319761	N_w	9	16	21	4	65	45	30	27	22	18	6	8	0	9	2	6	21	0	ENSG00000055163.19	CYFIP2
chr5:157319929-157320654	N_w	19	18	50	1	23	46	19	22	32	17	10	10	1	7	0	6	28	1	ENSG00000055163.19	CYFIP2
chr5:157320803-157323920	N_w	19	23	23	6	72	66	27	31	30	21	13	12	4	11	0	7	31	1	ENSG00000055163.19	CYFIP2
chr5:157324075-157325481	N_w	16	32	26	15	83	48	30	29	35	20	17	9	3	10	4	1	25	0	ENSG00000055163.19	CYFIP2
chr5:157325639-157326170	N_w	32	40	62	40	108	61	45	42	61	40	20	9	6	4	2	11	37	4	ENSG00000055163.19	CYFIP2
