junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr5:157266196-157285338	N_w	0.1052261603319753	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157266585-157285338	N_w	0.3121088630452573	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	True
chr5:157269584-157285338	N_w	0.6622625737709975	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	True
chr5:157285479-157287018	N_w	-0.18404037497662593	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157287109-157288611	N_w	0.6624303485936676	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	True
chr5:157287109-157294782	N_w	-0.17941570172463503	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157288660-157294782	N_w	0.6329692893385708	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	True
chr5:157294861-157296672	N_w	-0.27600434945902175	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157296775-157300714	N_w	-0.16797287764141466	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157300897-157302793	N_w	-0.3325747709565357	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157302891-157304237	N_w	-0.10433212042528978	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157304367-157307760	N_w	0.07797250683499374	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157307866-157309742	N_w	-0.18834382700051233	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157309835-157311663	N_w	-0.1659301814317924	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157311782-157314343	N_w	-0.39701942698763387	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157314464-157314879	N_w	0.6403360409015869	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	True
chr5:157314464-157314968	N_w	-0.22198555424417363	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157315095-157319761	N_w	-0.4115703935982139	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157319929-157320654	N_w	-0.4957851823521666	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157320803-157323920	N_w	-0.33110589347260033	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157324075-157325481	N_w	0.00755877032283786	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157324075-157325484	N_w	0.7256878927218027	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	True
chr5:157324901-157325481	N_w	0.9696190992229573	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	True
chr5:157325639-157326170	N_w	-0.0639182480888667	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157326268-157327972	N_w	-0.21376612202235773	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157328050-157330741	N_w	-0.08930052093045937	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157330851-157333326	N_w	-0.28369804928447606	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157333447-157339056	N_w	-0.49175357947096116	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157339257-157341069	N_w	-0.15480393014915783	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157341158-157359004	N_w	-0.38950507353413233	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157359149-157360281	N_w	-0.175827970717221	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157360373-157360554	N_w	0.5178703480431339	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	True
chr5:157360373-157361467	N_w	-0.37593031464564075	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157360623-157361467	N_w	0.7180067974157307	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	True
chr5:157361599-157382589	N_w	-0.2241841583644259	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157382663-157383264	N_w	-0.3254042113473721	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157383360-157389188	N_w	-0.2337742628587176	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157389428-157390520	N_w	-0.24730617174473102	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr5:157389428-157392832	N_w	1.0086732054638778	4.7718543606251065e-06	4.7718543606251065e-06	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	yes	True
chr5:157390669-157392832	N_w	-0.3154686285782542	1	1	ENSG00000055163.19	CYFIP2	40	1	2.693839603918725	no	False
chr2:182925819-182926815	N_w	-0.2503838217535652	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182926892-182928116	N_w	-0.4939930493631315	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182926906-182928116	N_w	-0.05749709672700387	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182928227-182928782	N_w	-0.12157888683760998	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182928900-182930694	N_w	-0.1456055677761019	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182930789-182934751	N_w	0.02681468222254546	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182930789-182942069	N_w	-0.12644246157327554	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182934833-182935264	N_w	-0.05413343264547921	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182934833-182935292	N_w	0.04680349644289006	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182935366-182942069	N_w	0.17591065826790908	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182935376-182942069	N_w	-0.041792155867037106	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182942164-182952404	N_w	-0.11169019807401015	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182952503-182952792	N_w	0.049951683838703076	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182952503-182953112	N_w	0.05870370964074656	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182952924-182953112	N_w	-0.05927214789235702	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182952924-182953258	N_w	0.05433705259586308	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182952924-182956461	N_w	-0.19513145800957465	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182953332-182956461	N_w	0.11986938442629702	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182956594-182957456	N_w	-0.04518815013353317	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182957597-182962158	N_w	0.07248649668098128	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182957597-182976892	N_w	-0.24583567954982666	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182962279-182963235	N_w	-0.028623873527026777	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182962279-182964675	N_w	0.024618632016141895	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182962279-182976892	N_w	-0.1127045077696196	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182964809-182967215	N_w	0.061270703576787655	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182964809-182976892	N_w	0.20057599250396274	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182967322-182976892	N_w	0.0654767019105651	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182967322-182978833	N_w	0.25851448052092474	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182967362-182976892	N_w	0.10367127732179937	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182976952-182978833	N_w	-0.0018918764304407532	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182978916-182981243	N_w	0.14303493663293088	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182981377-182982820	N_w	-0.0006871950593227982	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182982928-182983285	N_w	0.09545148837855222	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182983383-182986170	N_w	0.05914132542563211	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182986228-182989029	N_w	0.1719991974439148	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182989187-182993222	N_w	-0.13730047014842972	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182989187-182994825	N_w	-0.10581991634343701	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182989187-182994838	N_w	0.21894266788958205	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182990347-182994838	N_w	-0.2258137886904521	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182994888-182995700	N_w	0.1317298879579396	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
chr2:182994888-183001952	N_w	-0.1602102935100529	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	True
chr2:182995839-183001952	N_w	0.2614168724684107	1	1	ENSG00000061676.14	NCKAP1	50	0	1.0703615709916618	no	False
