junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr5:157266196-157285338	N_w	-0.3093397889010244	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157266585-157285338	N_w	-0.14032328053012932	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	True
chr5:157285479-157287018	N_w	0.09559241582610904	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157287109-157294782	N_w	-0.20981119337552845	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157288660-157294782	N_w	-0.0005706221241106313	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	True
chr5:157294861-157296672	N_w	0.1012459531462091	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157296775-157300714	N_w	-0.020192759817364514	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157300897-157302793	N_w	0.07779752241735616	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157302891-157304237	N_w	-0.2541714010294395	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157304367-157307760	N_w	-0.030639893910829524	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157307866-157309742	N_w	0.020944420289856602	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157309835-157311663	N_w	0.005239639425896836	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157311782-157314343	N_w	-0.01567928742007636	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157314464-157314968	N_w	-0.1005597438058522	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157315095-157319761	N_w	0.24151062715402438	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157319929-157320654	N_w	0.23808748165903373	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157320803-157323920	N_w	0.1878655948258824	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157324075-157325481	N_w	-0.1989744817491784	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157325639-157326170	N_w	0.07797427818290609	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157326268-157327972	N_w	0.14304349736668492	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
chr5:157328050-157330741	N_w	0.10919266143342454	1	1	ENSG00000055163.19	CYFIP2	34	0	0.9864826483335813	no	False
