junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr5:157266196-157285338	N_w	0.1703952164862661	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157266585-157285338	N_w	0.010147786430665384	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157285479-157287018	N_w	0.2179168132078665	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157287109-157294782	N_w	0.28935181859624304	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157287109-157296672	N_w	0.3944474694227078	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	True
chr5:157294861-157296672	N_w	0.053941859724844	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157296775-157300714	N_w	0.5943187370707759	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157296775-157307760	N_w	-0.03351319652255125	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	True
chr5:157300897-157302793	N_w	0.10890301816274295	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157302891-157304237	N_w	0.23733727871266463	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157304367-157307760	N_w	0.18288991410006705	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157307866-157309742	N_w	0.4179865337672763	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157307866-157309745	N_w	0.026542102114678112	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	True
chr5:157309835-157311663	N_w	0.08863579398886956	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157311782-157314343	N_w	0.20901574042099297	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157314464-157314968	N_w	-0.06090542047848779	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157315095-157319761	N_w	0.21886963078385302	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
chr5:157319929-157320654	N_w	0.07929146070295001	1	1	ENSG00000055163.19	CYFIP2	43	0	2.317524320523226	no	False
