junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr5:157266196-157285338	N_w	-0.981157491807914	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157266585-157285338	N_w	0.12390676537679934	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157269584-157285338	N_w	-0.38329128801167767	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	True
chr5:157285479-157287018	N_w	0.3129515252895071	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157287109-157294782	N_w	0.07336525584724654	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157287109-157296672	N_w	-1.1971041482298839	0.008366085874096924	0.008366085874096924	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	yes	True
chr5:157294861-157296672	N_w	0.10207835311039537	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157296775-157300714	N_w	0.19666568544003887	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157300897-157302793	N_w	0.1356702910141278	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157302891-157304237	N_w	0.09620239374766182	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157304367-157307760	N_w	-0.09183639446538394	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157307866-157309742	N_w	-0.07171027067382996	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157307866-157309745	N_w	-1.1800966858492266	0.0006437143113857469	0.0009655714670786204	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	yes	True
chr5:157309835-157311663	N_w	0.09870111855269825	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157311782-157314343	N_w	0.21621008448943418	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157314464-157314879	N_w	-0.3570727549348294	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	True
chr5:157314464-157314968	N_w	0.4481128054203238	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157315095-157319761	N_w	0.3631535025782753	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157319929-157320654	N_w	0.4168090842370475	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157320803-157323920	N_w	0.3365742556974297	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157324075-157324770	N_w	-0.9284797812341916	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	True
chr5:157324075-157325481	N_w	0.38786234325019076	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157324901-157325481	N_w	-0.8218362323517012	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	True
chr5:157325639-157326170	N_w	0.20986642967734803	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157326268-157327972	N_w	0.08033120254857605	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157328050-157330741	N_w	0.21864085053856797	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157330851-157333326	N_w	0.10808377692869464	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157333447-157339056	N_w	0.38186782437466504	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157339257-157341069	N_w	0.32142183955815207	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157341158-157359004	N_w	0.3699254389642148	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157359149-157360281	N_w	0.5039080472369795	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157360373-157360554	N_w	-1.209232007065101	0.0009801665693667846	0.0012381051402527805	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	yes	True
chr5:157360373-157361467	N_w	0.32576406305411654	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
chr5:157360623-157361467	N_w	-0.8061061414295541	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	True
chr5:157361599-157382589	N_w	0.5580132254734573	1	1	ENSG00000055163.19	CYFIP2	40	4	3.6395526465827057	no	False
