junction	type	ERR2598061	ERR2598062	ERR2598063	ERR2598064	ERR2598083	ERR2598084	ERR2598085	ERR2598097	ERR2598115	ERR2598131	ERR2598132	ERR2598143	ERR2598144	ERR2598159	ERR2598160	ERR2598161	ERR2598162	ERR2598173	ERR2598174	ERR2598175	ERR2598176	ERR2598188	ERR2598189	ERR2598201	ERR2598202	ERR2598217	ERR2598218	ERR2598219	ERR2598220	ERR2598241	ERR2598242	ERR2598243	ERR2598244	ERR2598261	ERR2598275	ERR2598284	ERR2598285	ERR2598334	ERR2598344	ERR2598357	ERR2598358	ERR2598359	ERR2598142	ERR2598260	ERR2598262	ERR2598310	geneID	geneName
chr5:157266196-157285338	N_w	0	0	0	0	0	0	2	1	0	0	0	0	1	2	1	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	ENSG00000055163.19	CYFIP2
chr5:157280389-157293242	N_w	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	ENSG00000055163.19	CYFIP2
chr5:157285479-157287018	N_w	0	1	1	4	0	0	13	8	4	8	4	11	17	6	2	4	6	11	11	5	6	1	2	1	2	0	6	7	4	0	2	1	0	0	2	3	2	3	2	1	13	3	3	0	0	7	ENSG00000055163.19	CYFIP2
chr5:157287109-157294782	N_w	0	1	1	0	0	0	8	2	2	2	3	3	5	3	0	2	5	7	5	0	0	0	1	1	0	0	3	3	2	0	0	0	0	0	0	1	0	0	1	1	5	1	0	0	0	2	ENSG00000055163.19	CYFIP2
chr5:157294861-157296672	N_w	1	1	3	6	3	0	19	7	8	7	4	4	6	5	5	4	6	20	5	3	1	1	1	0	4	0	1	9	6	0	0	0	4	0	0	2	2	3	7	4	4	4	3	0	3	6	ENSG00000055163.19	CYFIP2
chr5:157296775-157300714	N_w	0	2	1	0	0	0	5	5	2	1	3	1	1	5	3	3	3	4	5	1	0	1	0	1	3	2	2	5	3	1	3	2	4	0	1	0	0	2	0	1	1	1	1	0	0	2	ENSG00000055163.19	CYFIP2
chr5:157300897-157302793	N_w	0	3	1	3	1	1	6	5	1	1	3	2	8	2	1	3	5	11	10	3	1	2	4	2	6	1	1	5	1	1	0	1	2	1	0	1	3	2	2	1	4	1	1	0	0	4	ENSG00000055163.19	CYFIP2
chr5:157302891-157304237	N_w	0	4	0	4	0	0	12	10	4	12	5	5	15	8	1	5	6	15	7	7	0	1	4	0	10	0	2	5	9	2	0	0	3	2	2	3	4	4	5	2	11	1	4	0	0	8	ENSG00000055163.19	CYFIP2
chr5:157304367-157307760	N_w	0	0	1	3	0	0	14	8	3	3	7	7	11	4	2	3	1	10	4	1	1	0	3	0	2	0	5	1	6	1	0	0	0	0	0	1	1	4	1	1	4	0	0	0	0	7	ENSG00000055163.19	CYFIP2
chr5:157307866-157309742	N_w	1	1	3	0	0	0	5	2	5	4	4	2	8	9	2	4	4	7	1	0	2	3	1	0	0	0	2	1	4	0	0	0	0	0	0	0	0	2	2	4	6	0	0	0	0	4	ENSG00000055163.19	CYFIP2
chr5:157309835-157311663	N_w	0	1	2	1	0	0	14	9	1	5	4	4	7	2	3	7	3	7	1	3	3	1	0	0	4	0	1	2	1	0	1	0	0	0	0	0	2	4	3	3	12	3	1	1	1	4	ENSG00000055163.19	CYFIP2
chr5:157311782-157314343	N_w	0	1	0	4	0	0	4	1	3	5	1	2	1	5	0	0	1	11	2	1	2	2	1	0	2	0	3	3	7	1	0	0	0	0	1	1	0	3	0	1	2	0	1	0	0	8	ENSG00000055163.19	CYFIP2
chr5:157314464-157314968	N_w	0	0	1	6	0	0	11	3	5	2	2	5	10	5	5	3	5	9	9	2	0	0	1	0	1	0	4	3	1	0	0	0	0	0	0	0	0	1	2	0	9	3	2	0	0	4	ENSG00000055163.19	CYFIP2
chr5:157315095-157319761	N_w	0	0	2	1	0	0	5	3	3	6	3	2	10	2	5	4	5	13	5	2	2	0	2	0	4	0	2	5	2	0	0	0	2	0	1	2	6	4	2	0	12	0	2	0	0	5	ENSG00000055163.19	CYFIP2
chr5:157319929-157320654	N_w	0	0	3	2	0	0	10	4	4	4	3	5	9	4	1	0	4	9	7	7	4	0	1	0	6	0	4	3	3	0	0	0	0	0	1	2	4	2	0	1	6	2	0	0	0	9	ENSG00000055163.19	CYFIP2
chr5:157320803-157323920	N_w	0	0	3	1	0	0	8	4	2	7	3	5	9	4	4	2	7	13	7	1	1	1	1	0	7	1	2	2	4	1	0	0	1	0	1	2	1	4	3	2	10	3	1	0	0	6	ENSG00000055163.19	CYFIP2
chr5:157324075-157325481	N_w	1	0	2	1	0	0	13	7	3	4	3	4	11	4	8	2	10	13	6	4	1	2	2	0	4	0	7	3	0	0	1	0	1	0	2	2	7	3	2	0	5	1	2	0	0	17	ENSG00000055163.19	CYFIP2
chr5:157325639-157326170	N_w	0	1	3	3	0	0	14	13	12	10	3	6	12	9	4	7	6	21	9	8	3	3	9	2	3	0	4	6	10	0	1	0	1	0	3	4	5	8	3	2	15	5	4	0	3	20	ENSG00000055163.19	CYFIP2
chr5:157326268-157327972	N_w	0	0	1	1	0	0	3	4	1	3	3	0	7	2	0	2	6	7	4	2	1	2	0	0	2	0	2	2	1	0	0	0	0	0	0	1	0	3	0	0	0	2	2	1	1	7	ENSG00000055163.19	CYFIP2
chr5:157328050-157330741	N_w	0	2	1	5	1	0	16	12	10	7	6	6	13	6	6	3	6	10	3	3	4	3	2	0	2	0	5	7	9	0	0	0	1	0	4	5	4	9	3	7	28	5	2	0	0	12	ENSG00000055163.19	CYFIP2
chr5:157330851-157333326	N_w	0	0	6	8	0	0	16	7	10	5	4	4	7	11	9	4	7	14	3	5	5	3	3	0	3	1	10	8	3	1	0	0	2	0	2	2	4	6	2	2	39	9	1	0	2	16	ENSG00000055163.19	CYFIP2
chr5:157333447-157339056	N_w	1	2	3	1	1	0	0	3	2	3	4	3	4	5	5	1	10	16	6	1	0	2	0	1	3	0	6	1	4	1	0	0	0	0	1	2	6	6	3	4	7	2	2	1	0	11	ENSG00000055163.19	CYFIP2
chr5:157339257-157341069	N_w	0	8	7	6	1	1	29	11	10	5	10	8	20	15	5	2	13	25	12	10	7	4	0	1	9	0	9	14	6	3	2	2	1	2	7	2	8	10	7	4	57	3	4	3	4	26	ENSG00000055163.19	CYFIP2
chr5:157341158-157359004	N_w	1	5	14	11	3	1	41	23	16	17	8	5	31	14	14	9	17	28	19	11	11	4	5	1	17	2	15	14	6	1	1	1	2	0	12	10	19	17	8	5	104	10	5	2	5	34	ENSG00000055163.19	CYFIP2
chr5:157359149-157360281	N_w	1	3	6	4	1	1	17	12	7	9	1	12	7	9	7	0	11	18	7	7	2	2	4	2	1	1	6	10	9	2	1	1	4	1	3	6	4	8	4	5	42	10	4	2	8	15	ENSG00000055163.19	CYFIP2
chr5:157360373-157361467	N_w	3	2	9	13	9	1	35	20	7	17	17	9	20	14	16	7	14	23	9	8	12	7	11	4	9	1	10	10	8	5	2	6	2	9	10	7	16	12	12	4	54	12	5	2	9	30	ENSG00000055163.19	CYFIP2
chr5:157360623-157361467	N_w	0	0	0	0	0	4	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	ENSG00000055163.19	CYFIP2
chr5:157361599-157382589	N_w	4	3	5	3	5	2	24	13	3	7	11	9	15	12	11	5	10	15	12	5	7	7	1	4	7	0	5	13	15	2	0	3	4	1	5	4	11	11	3	2	50	6	1	4	6	32	ENSG00000055163.19	CYFIP2
chr5:157382663-157383264	N_w	2	4	6	1	6	0	11	6	1	8	2	5	10	9	6	2	8	10	5	4	3	3	3	3	4	0	9	3	6	0	1	1	6	0	0	4	8	13	2	5	20	10	2	2	2	17	ENSG00000055163.19	CYFIP2
chr5:157383360-157389188	N_w	9	0	2	5	8	6	6	2	7	9	7	9	11	6	4	2	8	10	5	3	2	2	0	1	4	3	1	5	1	3	1	2	4	4	0	4	11	11	5	3	24	3	2	0	6	16	ENSG00000055163.19	CYFIP2
chr5:157389428-157390520	N_w	6	10	10	5	9	5	8	1	9	3	3	5	5	3	9	4	11	18	5	4	1	3	1	1	3	6	13	3	3	1	1	2	8	2	3	1	3	7	3	1	15	7	3	2	5	13	ENSG00000055163.19	CYFIP2
chr5:157390669-157392832	N_w	18	13	9	8	13	7	17	10	6	7	10	7	17	13	12	5	5	10	6	1	1	5	2	5	6	9	12	6	6	7	6	5	14	13	10	8	10	16	10	9	67	12	4	0	16	21	ENSG00000055163.19	CYFIP2
chr2:182925819-182926815	N_w	7	3	7	9	3	2	7	10	9	16	3	8	6	21	11	8	21	37	36	4	9	9	18	19	25	18	15	14	13	5	10	3	19	0	12	10	10	14	8	16	23	20	5	18	7	23	ENSG00000061676.14	NCKAP1
chr2:182926906-182928116	N_w	11	15	32	49	7	4	53	73	38	68	36	50	28	93	28	20	64	169	118	67	42	58	86	25	82	55	67	75	68	21	7	18	19	0	23	33	26	49	36	57	44	48	23	16	24	56	ENSG00000061676.14	NCKAP1
chr2:182928227-182928782	N_w	3	6	13	38	6	2	55	72	26	41	28	30	22	45	18	17	52	121	78	46	31	21	77	9	64	19	40	56	52	6	5	4	8	0	9	19	6	24	22	34	25	22	11	17	5	32	ENSG00000061676.14	NCKAP1
chr2:182928900-182930694	N_w	14	6	15	20	3	1	49	42	29	43	24	18	13	72	31	22	63	147	82	47	27	35	70	14	76	17	56	61	72	15	10	0	14	1	15	22	16	31	20	33	35	33	19	18	11	52	ENSG00000061676.14	NCKAP1
chr2:182930789-182934751	N_w	7	2	16	15	1	2	22	24	16	28	16	25	16	49	16	19	44	91	52	42	18	28	31	13	48	11	29	42	40	5	6	3	14	0	6	14	8	18	24	25	11	27	8	9	8	34	ENSG00000061676.14	NCKAP1
chr2:182934833-182935292	N_w	1	5	10	27	0	1	18	28	8	28	18	17	9	24	15	14	40	126	57	15	7	24	50	14	42	19	21	35	32	2	4	1	12	0	7	16	13	22	21	16	18	46	11	15	5	19	ENSG00000061676.14	NCKAP1
chr2:182935376-182942069	N_w	3	4	24	55	3	2	45	70	29	67	35	32	31	73	34	19	66	186	122	74	42	43	103	9	91	22	72	72	76	3	12	3	10	0	13	10	22	33	31	46	24	37	20	16	5	72	ENSG00000061676.14	NCKAP1
