junction	type	ERR2598276	ERR2598277	ERR2598278	ERR2598279	ERR2598286	ERR2598345	ERR2598360	ERR2598361	ERR2598362	ERR2598363	ERR2598302	ERR2598303	ERR2598304	ERR2598311	geneID	geneName
chr5:157285479-157287018	N_w	1	5	0	6	2	15	4	2	11	0	2	5	28	9	ENSG00000055163.19	CYFIP2
chr5:157287109-157294782	N_w	0	1	2	1	0	4	2	0	1	0	1	1	4	5	ENSG00000055163.19	CYFIP2
chr5:157294861-157296672	N_w	2	5	0	9	3	14	5	4	10	0	14	7	21	9	ENSG00000055163.19	CYFIP2
chr5:157296775-157300714	N_w	1	0	1	1	2	10	1	3	3	0	2	1	11	4	ENSG00000055163.19	CYFIP2
chr5:157300897-157302793	N_w	0	1	0	3	1	11	2	4	2	3	5	7	18	2	ENSG00000055163.19	CYFIP2
chr5:157302891-157304237	N_w	2	2	1	10	2	18	5	2	7	1	8	12	23	7	ENSG00000055163.19	CYFIP2
chr5:157304367-157307760	N_w	0	1	1	1	4	10	4	3	3	0	5	2	27	7	ENSG00000055163.19	CYFIP2
chr5:157307866-157309742	N_w	0	2	0	2	1	9	0	1	3	0	0	2	7	6	ENSG00000055163.19	CYFIP2
chr5:157309835-157311663	N_w	0	0	1	3	1	7	2	2	2	0	3	4	17	11	ENSG00000055163.19	CYFIP2
chr5:157311782-157314343	N_w	0	0	1	1	0	9	0	2	5	0	4	1	18	2	ENSG00000055163.19	CYFIP2
chr5:157314464-157314968	N_w	1	1	2	4	2	5	0	0	6	1	1	0	10	13	ENSG00000055163.19	CYFIP2
chr5:157315095-157319761	N_w	0	1	0	8	4	18	0	5	10	1	6	3	16	5	ENSG00000055163.19	CYFIP2
chr5:157319929-157320654	N_w	2	2	0	8	5	9	2	0	4	1	4	4	15	8	ENSG00000055163.19	CYFIP2
chr5:157320803-157323920	N_w	0	3	1	3	2	13	4	1	5	0	6	3	22	7	ENSG00000055163.19	CYFIP2
chr5:157324075-157325481	N_w	2	2	1	6	3	9	3	3	5	0	5	2	25	5	ENSG00000055163.19	CYFIP2
chr5:157325639-157326170	N_w	3	4	0	11	4	14	4	7	8	1	3	4	25	6	ENSG00000055163.19	CYFIP2
chr5:157326268-157327972	N_w	0	0	0	2	0	4	0	0	1	0	2	0	8	2	ENSG00000055163.19	CYFIP2
