junction	type	ERR2598067	ERR2598068	ERR2598087	ERR2598088	ERR2598100	ERR2598101	ERR2598117	ERR2598118	ERR2598119	ERR2598134	ERR2598135	ERR2598136	ERR2598163	ERR2598179	ERR2598191	ERR2598192	ERR2598204	ERR2598205	ERR2598224	ERR2598225	ERR2598247	ERR2598248	ERR2598249	ERR2598264	ERR2598265	ERR2598276	ERR2598277	ERR2598278	ERR2598279	ERR2598286	ERR2598360	ERR2598361	ERR2598362	ERR2598363	ERR2598147	ERR2598223	ERR2598311	geneID	geneName
chr5:157266196-157285338	N_w	0	1	0	2	1	4	2	4	2	0	0	3	5	0	1	1	0	1	1	2	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	1	ENSG00000055163.19	CYFIP2
chr5:157285479-157287018	N_w	0	22	0	21	6	6	9	4	27	4	0	17	30	17	8	13	0	17	65	16	3	1	3	1	22	1	5	0	6	2	4	2	11	0	6	1	9	ENSG00000055163.19	CYFIP2
chr5:157287109-157294782	N_w	0	14	0	6	2	5	5	2	5	1	0	10	6	7	8	11	2	2	29	14	0	0	0	0	8	0	1	2	1	0	2	0	1	0	1	0	5	ENSG00000055163.19	CYFIP2
chr5:157294861-157296672	N_w	0	32	1	25	10	12	11	11	29	6	3	20	37	16	15	26	0	21	55	42	1	0	10	0	23	2	5	0	9	3	5	4	10	0	9	9	9	ENSG00000055163.19	CYFIP2
chr5:157296775-157300714	N_w	0	9	1	13	1	11	12	8	14	0	17	13	10	6	3	10	0	4	19	14	0	0	10	0	8	1	0	1	1	2	1	3	3	0	1	6	4	ENSG00000055163.19	CYFIP2
chr5:157300897-157302793	N_w	1	18	4	13	4	6	7	16	18	2	7	8	17	12	7	13	2	10	27	25	2	4	13	0	11	0	1	0	3	1	2	4	2	3	8	6	2	ENSG00000055163.19	CYFIP2
chr5:157302891-157304237	N_w	1	29	3	35	5	9	20	24	23	6	12	24	14	13	13	13	5	17	60	20	3	2	25	1	22	2	2	1	10	2	5	2	7	1	10	11	7	ENSG00000055163.19	CYFIP2
chr5:157304367-157307760	N_w	0	26	0	20	10	7	9	8	17	2	13	19	8	15	4	13	3	12	38	33	1	0	0	0	19	0	1	1	1	4	4	3	3	0	13	5	7	ENSG00000055163.19	CYFIP2
chr5:157307866-157309742	N_w	0	12	0	9	4	6	6	12	9	5	23	12	0	15	3	4	2	6	27	13	1	0	0	0	7	0	2	0	2	1	0	1	3	0	2	0	6	ENSG00000055163.19	CYFIP2
chr5:157309835-157311663	N_w	0	9	0	13	6	1	14	14	16	4	0	10	10	8	12	12	2	11	32	14	0	0	0	0	13	0	0	1	3	1	2	2	2	0	5	2	11	ENSG00000055163.19	CYFIP2
chr5:157311782-157314343	N_w	1	16	0	11	2	9	12	12	13	1	16	16	11	13	7	7	2	6	36	17	2	1	1	0	9	0	0	1	1	0	0	2	5	0	3	1	2	ENSG00000055163.19	CYFIP2
chr5:157314464-157314968	N_w	1	15	0	20	9	6	5	21	21	3	5	14	12	6	13	10	2	8	28	12	3	0	0	1	7	1	1	2	4	2	0	0	6	1	8	3	13	ENSG00000055163.19	CYFIP2
chr5:157315095-157319761	N_w	0	13	0	18	3	10	18	5	14	2	4	24	7	9	7	17	3	10	36	25	0	0	0	0	9	0	1	0	8	4	0	5	10	1	10	4	5	ENSG00000055163.19	CYFIP2
chr5:157319929-157320654	N_w	1	23	0	20	7	13	4	19	14	1	6	12	15	11	6	9	1	12	28	21	0	0	1	0	18	2	2	0	8	5	2	0	4	1	6	6	8	ENSG00000055163.19	CYFIP2
chr5:157320803-157323920	N_w	0	28	0	19	5	10	13	26	21	4	19	22	12	9	14	17	0	13	47	29	3	0	2	2	20	0	3	1	3	2	4	1	5	0	11	3	7	ENSG00000055163.19	CYFIP2
chr5:157324075-157325481	N_w	0	22	0	22	1	21	7	16	34	4	4	18	10	14	17	16	4	15	38	21	1	0	2	2	13	2	2	1	6	3	3	3	5	0	4	4	5	ENSG00000055163.19	CYFIP2
chr5:157325639-157326170	N_w	0	32	1	22	11	15	19	29	37	7	21	40	21	12	13	20	2	20	69	49	3	1	2	1	20	3	4	0	11	4	4	7	8	1	14	9	6	ENSG00000055163.19	CYFIP2
chr5:157326268-157327972	N_w	0	16	1	0	2	6	7	9	9	5	8	8	1	9	1	6	3	0	25	12	1	0	2	1	8	0	0	0	2	0	0	0	1	0	1	3	2	ENSG00000055163.19	CYFIP2
chr5:157328050-157330741	N_w	0	33	1	28	16	15	18	18	37	10	19	26	19	20	20	27	5	21	57	22	1	2	5	2	27	1	9	5	8	3	10	8	5	3	6	6	13	ENSG00000055163.19	CYFIP2
chr5:157330851-157333326	N_w	1	37	4	23	17	18	11	19	29	5	29	34	12	15	11	26	4	17	62	35	5	1	3	5	23	0	7	3	13	3	9	5	5	1	8	9	14	ENSG00000055163.19	CYFIP2
chr5:157333447-157339056	N_w	2	33	3	32	11	8	15	20	15	5	5	17	9	10	5	20	2	9	36	31	5	1	7	2	26	2	4	3	6	4	6	5	4	1	7	10	5	ENSG00000055163.19	CYFIP2
chr5:157339257-157341069	N_w	4	43	9	27	21	14	18	13	36	10	4	33	13	22	23	26	4	20	63	38	7	3	6	3	19	1	26	4	15	4	27	5	18	17	8	25	40	ENSG00000055163.19	CYFIP2
chr5:157341158-157359004	N_w	8	73	12	44	34	23	34	54	59	11	6	46	18	24	36	46	12	26	89	49	6	9	8	10	45	5	43	9	22	6	25	16	20	27	12	21	31	ENSG00000055163.19	CYFIP2
chr5:157359149-157360281	N_w	7	41	16	31	11	13	21	32	29	4	28	29	11	11	19	13	3	19	48	32	5	13	7	8	24	11	20	3	14	10	17	8	7	6	9	20	17	ENSG00000055163.19	CYFIP2
chr5:157360373-157361467	N_w	21	60	16	50	21	24	34	66	71	12	33	45	21	17	23	36	10	28	77	58	9	13	26	19	43	11	37	18	32	11	44	18	24	24	27	24	35	ENSG00000055163.19	CYFIP2
chr5:157360623-157361467	N_w	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	1	2	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	ENSG00000055163.19	CYFIP2
