junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr17:49210842-49216530	N_w	-0.3580279445260468	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	False
chr17:49210842-49217738	N_w	0.29976700744812323	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49211216-49216530	N_w	-0.024353870741459838	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49215058-49216530	N_w	0.40850653122689784	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49216606-49217738	N_w	-0.13606309766470842	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49216681-49217738	N_w	0.2802707624740589	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49216699-49217680	N_w	0.11104521884332164	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49216699-49217738	N_w	-0.323606155764415	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	False
chr17:49217432-49217738	N_w	0.027188842872582053	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49217916-49219043	N_w	-0.3161582093847346	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49217916-49219516	N_w	0.2832092347377304	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49217916-49219539	N_w	-0.2803189265515984	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	False
chr17:49217916-49219857	N_w	-0.21975313196637697	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49217916-49222090	N_w	0.20359840357037928	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49219147-49219539	N_w	0.05825479585350091	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	True
chr17:49219626-49219857	N_w	-0.0018825250373653013	1	1	ENSG00000108798.8	ABI3	23	0	1.1052728498018924	no	False
