junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr5:157285479-157287018	N_w	0.2901273465763214	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157287109-157294782	N_w	-0.5553765651827494	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157294861-157296672	N_w	0.46973369407016485	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157296775-157300714	N_w	0.27136298365458866	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157300897-157302793	N_w	0.6081103329097072	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157302891-157304237	N_w	0.940533047713536	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157304367-157307760	N_w	0.45512618018027184	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157307866-157309742	N_w	0.1202482702387293	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157309835-157311663	N_w	0.6090353343783547	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157311782-157314343	N_w	0.24467263149583723	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	True
chr5:157314464-157314968	N_w	-0.4941625234346082	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157315095-157319761	N_w	0.312977214185956	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157319929-157320654	N_w	0.2080534581663173	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157320803-157323920	N_w	0.565382746984572	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157324075-157325481	N_w	0.31101743064567255	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157325639-157326170	N_w	0.08908247955703293	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157326268-157327972	N_w	0.11953845969780064	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	True
chr5:157328050-157330741	N_w	0.10040500594192145	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157330851-157333326	N_w	0.10245051831855385	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
chr5:157333447-157339056	N_w	-0.2647120641664662	1	1	ENSG00000055163.19	CYFIP2	30	0	2.6191622527306366	no	False
