junction	type	2a9ed6f1-3f93-43cf-9e47-6690781e1009	d512d7d6-0f5f-484c-a4eb-20fcce53643a	f69372c0-9da5-469c-ba81-e5b3da5e605c	199a14f5-6ff1-4d6e-b043-06061511915f	b178a8cb-b28c-4fed-a8ae-d4e37ae39261	842f6668-669f-4e7d-89f6-f6da627297b8	ad36d45c-5bd4-4c14-87b7-eb57dc110ac7	a72b96c5-2ece-463e-a6cc-4598901a9bef	42a0ffc5-0804-4b82-9c18-50df23f21cf9	81148a24-a1bf-45ae-a0bb-709cccd728fd	8a72416e-242b-4482-921e-88fdae3c17ff	f53a9c63-1af7-4cbc-b8b7-4aa7aaed3364	dc2086bf-e50b-49fb-b31e-93b4fdc540fb	9a2c9224-ec66-4560-b909-08144c67e00d	7ad22869-92c5-43d5-b334-9781a311cb2e	454383cb-3cb3-4b8c-8078-a2ec27139d33	0141f9ca-a8a1-4ea4-b194-6c3afb943253	3551ea04-99f5-4748-8304-6a63e77ae756	fdbd24ed-a293-4f84-a418-8ab531750e9a	1f1c74d9-86f3-49ea-bb26-2c09efecc4a2	479dca62-5053-4919-9d21-695298aa76b4	37b29806-fbd6-432f-9a47-ce72bee3a5bb	9a756d11-4f93-4a52-9755-c338b21ccdca	d27541fa-68eb-4066-a6b8-6abd49575fe1	cc4c52a7-57d4-4959-abfb-8ed3b1ba4ded	e08283ca-68e0-4171-b8b9-51aee0b1e0ef	8ff6b0ab-c03c-4a06-a851-ebb4b0ffb769	1d6b448c-1d01-4a8c-8417-b094ec2d562e	e959e8bd-d13c-43c2-840b-8e19211eb643	0a858ad7-1c4a-41a0-9747-97c108cb074e	b8de7c7f-5de1-45b9-948d-cf5df3850551	6f54f9c0-5687-4a07-bf75-b506752b4a52	8c3b9672-d44c-4df4-9912-47f93f0a5c58	cef2bdb2-017f-4e90-94b3-45a91ac9fb6c	bc005778-f88d-47b7-8e04-ceb9750f00c2	3d648fd2-3148-478b-a74c-0016a04cdbe5	1ef1159e-ddaa-4673-8115-d8f356e51ff8	geneID	geneName
chr5:157266196-157285338	N_w	2	10	24	19	4	10	6	8	5	8	0	4	2	3	2	2	1	18	6	18	0	4	9	6	3	0	2	6	4	12	5	0	3	37	3	10	2	ENSG00000055163.19	CYFIP2
chr5:157266585-157285338	N_w	1	3	9	4	0	7	5	0	0	2	0	1	0	0	0	0	1	4	0	1	0	0	1	6	1	0	0	3	0	2	4	0	2	5	1	12	1	ENSG00000055163.19	CYFIP2
chr5:157285479-157287018	N_w	13	26	76	53	12	16	24	25	19	12	0	15	8	2	6	10	1	36	14	37	3	7	22	37	14	0	2	39	13	37	13	0	7	114	12	43	3	ENSG00000055163.19	CYFIP2
chr5:157287109-157294782	N_w	8	11	42	22	6	7	12	14	11	3	0	11	5	1	3	5	6	18	15	24	1	1	18	17	7	2	5	25	12	11	8	1	5	47	13	29	2	ENSG00000055163.19	CYFIP2
chr5:157288660-157294782	N_w	0	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	6	0	0	0	ENSG00000055163.19	CYFIP2
chr5:157294861-157296672	N_w	21	24	53	51	13	19	32	18	22	16	0	15	4	3	8	6	11	52	15	31	4	6	34	36	10	0	4	43	11	33	23	1	16	116	12	32	3	ENSG00000055163.19	CYFIP2
chr5:157296775-157300714	N_w	7	25	43	32	6	12	21	18	6	12	0	11	6	3	4	6	4	43	8	24	0	2	18	29	5	1	11	28	18	25	19	0	10	101	7	30	0	ENSG00000055163.19	CYFIP2
chr5:157300897-157302793	N_w	17	32	72	41	11	23	39	26	18	11	0	22	3	7	9	7	9	50	17	39	2	13	30	52	11	3	10	53	14	38	13	1	8	125	21	43	3	ENSG00000055163.19	CYFIP2
chr5:157302891-157304237	N_w	11	20	44	42	6	9	23	29	16	24	0	18	6	5	11	6	9	41	23	30	2	0	21	23	5	4	4	46	20	26	14	4	12	112	17	37	3	ENSG00000055163.19	CYFIP2
chr5:157304367-157307760	N_w	9	19	38	35	5	6	25	25	9	7	0	5	3	2	11	8	5	35	12	17	0	5	19	16	3	2	4	23	11	23	11	0	3	113	9	27	0	ENSG00000055163.19	CYFIP2
