junction	junction_type	abundance_change	p_val	q_val	geneID	geneName	junctions	sig_junctions	centre_dist	significant	zero_replacement
chr5:157266196-157285338	N_w	0.6973859971189453	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	True
chr5:157266585-157285338	N_w	-0.25017259389411306	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	True
chr5:157285479-157287018	N_w	0.23588101813233775	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157287109-157294782	N_w	-0.7002581466079002	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157294861-157296672	N_w	0.42632289284464775	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157296775-157300714	N_w	-0.37665475340367527	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157300897-157302793	N_w	0.28835098406901877	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157302891-157304237	N_w	0.33015778598796536	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157304367-157307760	N_w	0.016846500711492733	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157307866-157309742	N_w	0.0601350009683802	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157309835-157311663	N_w	0.08813750755121233	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157311782-157314343	N_w	-0.03634085401954562	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157314464-157314968	N_w	-0.7665283484823717	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157315095-157319761	N_w	0.21994837875116663	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157319929-157320654	N_w	0.07114596532257184	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157320803-157323920	N_w	0.08495852831329712	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157324075-157325481	N_w	0.059629442047145625	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157325639-157326170	N_w	-0.21437723653442275	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157326268-157327972	N_w	0.10793198444860297	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157328050-157330741	N_w	0.06523838450656266	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157330851-157333326	N_w	-0.174017566488456	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157333447-157339056	N_w	-0.47974145707530336	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157339257-157341069	N_w	0.335941555807155	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157341158-157359004	N_w	0.10745826318694252	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157359149-157360281	N_w	-0.25781614978602296	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
chr5:157360373-157361467	N_w	-0.41449469962627195	1	1	ENSG00000055163.19	CYFIP2	33	0	1.7997335333934363	no	False
